unidentified_Gastromyzontidae	Canthophrys_gongota	Sardina_pilchardus	Jaydia_lineata	unidentified_Amblyopinae	Symphysodon_aequifasciata	Paraconger_notialis	Odontobutis_haifengensis	unidentified_Osteoglossiformes	unidentified_Acanthaphritis	Pagellus_bogaraveo	Onychostoma_meridionale	Diplacanthopoma_brachysoma	Eumegistus_illustris	Megalops_atlanticus	Ponticola_kessleri	Cynoglossus_abbreviatus	Heniochus_diphreutes	Hyporhamphus_limbatus	unidentified_Homatula	Scolopsis_ciliata	unidentified_Oreochromini	unidentified_Sphyraena	Pristipomoides_multidens	Polyacanthonotus_rissoanus	Amblydoras_gonzalezi	Rastrelliger_brachysoma	Micropterus_dolomieu	Facciolella_oxyrhyncha	Acanthocepola_krusensternii	Dallia_pectoralis	Solea_senegalensis	Rasbora_sumatrana	Squalomugil_nasutus	Etheostoma_trisella	Eleutheronema_tetradactylum	Luciogobius_elongatus	unidentified_Pampus	unidentified_Channa	Eigenmannia_sp._CBM.ZF.10620	Eugnathogobius_polylepis	Acestrorhynchus_sp._NM.2010	Cephalopholis_argus	unidentified_Mastacembelidae	Chaetobranchopsis_bitaeniatus	Elassoma_evergladei	Latimeria_chalumnae	Bolbometopon_muricatum	Coilia_reynaldi	Leiodon_cutcutia	Eurypegasus_draconis	Sundasalanx_praecox	Lepidoblepharon_ophthalmolepis	Pantodon_buchholzi	Polymixia_japonica	Parazen_pacificus	Bhavania_australis	Sabanejewia_radnensis	Nothobranchius_kafuensis	Paracheirodon_axelrodi	Carapus_bermudensis	Monocentris_japonicus	Megaleporinus_elongatus	Aplocheilus_lineatus	Microthrissa_congica	Halichoeres_melanurus	unidentified_Aspasma	Leiopotherapon_unicolor	Halichoeres_hartzfeldii	Aplocheilus_panchax	Conger_japonicus	Paraluteres_prionurus	unidentified_Pethia	Umbra_limi	Monopterus_albus	unidentified_Trichopodus	Cranoglanis_bouderius	Enteromius_trimaculatus	Corydoras_rabauti	Anabas_testudineus	Opsariichthys_bidens	Triplophysa_yarkandensis	Plectropomus_areolatus	Hime_japonica	Pteraclis_aesticola	Bothus_pantherinus	Arripis_trutta	Glossogobius_circumspectus	Doederleinia_berycoides	Myctophum_affine	Hoplolatilus_cuniculus	unidentified_Kyphosus	Zeus_faber	Pseudaesopia_japonica	Polyspina_piosae	Acentrogobius_pflaumii	Xenotoca_eiseni	Cirrhitichthys_aprinus	unidentified_Plotosus	Galaxias_truttaceus	Procetichthys_kreffti	Psilorhynchus_sucatio	Trachidermus_fasciatus	Embiotoca_jacksoni	Esomus_metallicus	Chaunax_abei	Ictalurus_furcatus	Grammatobothus_polyophthalmus	Triphoturus_mexicanus	Amblypharyngodon_mola	unidentified_Anarhichas	Masturus_lanceolatus	Exyrias_puntang	Parachanna_insignis	unidentified_Heterocongrinae	Astronotus_ocellatus	Gymnorhamphichthys_sp._NM.2010	Syncrossus_beauforti	Eleginops_maclovinus	Elagatis_bipinnulata	Heterotis_niloticus	Cromileptes_altivelis	Gymnomuraena_zebra	unidentified_Sciaenidae	Clypeobarbus_pleuropholis	unidentified_Zebrias	unidentified_Callionymidae	unidentified_Pseudorhombus	Otolithes_ruber	Vaillantella_maassi	Esox_lucius	Stolephorus_insularis	Trixiphichthys_weberi	unidentified_Oreoglanis	Malapterurus_electricus	unidentified_Sardinella	Ptychochromoides_katria	Avocettina_infans	Triplophysa_rosa	unidentified_Psenopsis	Rhynchactis_macrothrix	Arnoglossus_polyspilus	Galaxias_gollumoides	Archiaphyosemion_guineense	Hiodon_alosoides	Pervagor_janthinosoma	Microcanthus_strigatus	Chauliodus_sloani	Anyperodon_leucogrammicus	Monotaxis_grandoculis	Plectorhinchus_cinctus	Channa_micropeltes	Lophiogobius_ocellicauda	Ichthyborus_ornatus	Percopsis_transmontana	Cabdio_morar	Hemiculter_bleekeri	Pythonichthys_microphthalmus	Arnoglossus_tenuis	Rhodeus_shitaiensis	Ehirava_fluviatilis	Olisthops_cyanomelas	Eucyclogobius_newberryi	Cottiusculus_nihonkaiensis	unidentified_Helicolenus	Pseudorhombus_dupliciocellatus	Clupea_harengus	Doryrhamphus_japonicus	Hemigrammus_bleheri	Fistularia_commersonii	Clupeichthys_perakensis	Bodianus_oxycephalus	unidentified_Gerres	Stephanolepis_cirrhifer	Protopterus_aethiopicus	Horabagrus_brachysoma	Bufoceratias_thele	Rudarius_ercodes	unidentified_Echeneis	Symphurus_orientalis	Sirembo_imberbis	Kryptolebias_hermaphroditus	Sillago_asiatica	Rhinichthys_atratulus	Gudusia_chapra	Synodus_variegatus	unidentified_Characidae	unidentified_Laeops	Anoplocapros_lenticularis	Epinephelus_areolatus	Acentrogobius_caninus	Girella_punctata	Mugilogobius_chulae	Danio_rerio	Enteromius_fasciolatus	Halichoeres_tenuispinis	Lepomis_gulosus	unidentified_Trachipterus	Psammoperca_waigiensis	unidentified_Lutjanus	Etheostoma_caeruleum	Macrorhamphosodes_uradoi	Minytrema_melanops	Lamprogrammus_niger	Pictichromis_paccagnellae	unidentified_Elops	Leuresthes_tenuis	Ateleopus_japonicus	Hyporhamphus_intermedius
ClaidentTutorial__Sample11__MiFish	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample12__MiFish	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample13__MiFish	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample14__MiFish	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample15__MiFish	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample16__MiFish	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ClaidentTutorial__Sample17__MiFish	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample18__MiFish	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample19__MiFish	1	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ClaidentTutorial__Sample20__MiFish	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0
